route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
383,regular,UB,Hatfield,Uno,SD,Finchley Memorial Hospital,"Barnet, The Spires",,The Spires,Finchley Memorial Hospital,"Barnet, The Spires",,2.0,2.0,2.0,0.0,2.0,12.732,7.911
384,regular,PB,Potters Bar,Metroline,SD,Cockfosters,Edgware,Cockfosters Station,Edgware Station,Cockfosters,Edgware,,3.0,3.0,3.0,0.0,2.0,16.268,10.108
385,regular,AW,Walthamstow Avenue,Stagecoach London,SD,"Crooked Billet, Sainsbury's",Chingford Station,Salisbury Hall Sainsbury's,,"Crooked Billet, Sainsbury's, Salisbury Hall Sainsbury's",Chingford Station,,0.0,0.5,1.0,0.0,1.0,7.098,4.41
386,regular,MG,Morden Wharf (Greenwich),Go-Ahead,SD,Blackheath Village,Woolwich,Royal Parade,Woolwich Arsenal Station,"Blackheath Village, Royal Parade",Woolwich,,3.0,3.0,3.0,0.0,3.0,15.92,9.892
388,regular,HK,Ash Grove,Stagecoach London,DD,London Bridge,Stratford City,London Bridge Bus Station,Stratford City Bus Station,London Bridge,Stratford City,,5.0,5.0,5.0,0.0,5.0,10.009,6.219
389,regular,NP,Northumberland Park,Go-Ahead,SD,"Barnet, Western Way","Barnet, The Spires",Western Way,The Spires,"Barnet, Western Way","Barnet, The Spires",,0.0,0.0,1.0,0.0,1.0,2.611,1.622
390,twentyfour,HT,Holloway,Metroline,DD,Victoria,Archway,Victoria Bus Station,Archway Station,Victoria,Archway,,6.5,6.0,6.0,3.0,5.5,11.565,7.186
393,regular,HT,Holloway,Metroline,SD,Chalk Farm,Lea Bridge Roundabout,Chalk Farm Road / Morrisons,,Chalk Farm,Lea Bridge Roundabout,,5.0,5.0,5.0,0.0,4.0,13.549,8.419
394,regular,HK,Ash Grove,Stagecoach London,SD,"Islington, Angel",Homerton Hospital,Tolpuddle St / Islington Police Station,,"Islington, Angel, Tolpuddle St / Islington Police Station",Homerton Hospital,,4.0,4.0,4.0,0.0,4.0,8.23,5.114
395,regular,SO,Harrow,First,SD,"Greenford, Westway Cross",Harrow,Westway Cross Retail Park,Harrow Bus Station,"Greenford, Westway Cross, Westway Cross Retail Park",Harrow,,3.0,3.0,3.0,0.0,2.0,9.41,5.847
396,regular,RR,River Road,Go-Ahead,SD,Roden Street,King George Hospital,,,Roden Street,King George Hospital,,3.0,3.0,3.0,0.0,3.0,7.275,4.521
397,regular,AW,Walthamstow Avenue,Stagecoach London,SD,Debden,"Crooked Billet, Sainsbury's",The Broadway,Salisbury Hall Sainsbury's,"Debden, The Broadway","Crooked Billet, Sainsbury's, Salisbury Hall Sainsbury's",,3.0,2.0,2.0,0.0,2.0,15.65,9.724
398,regular,SO,Harrow,First,SD,Wood End,Ruislip,Hemery Road,Ruislip Station,"Wood End, Hemery Road",Ruislip,,2.0,2.0,2.0,0.0,2.0,10.213,6.346
399,regular,NP,Northumberland Park,Go-Ahead,SD,Hadley Wood Station,"Barnet, The Spires",,The Spires,Hadley Wood Station,"Barnet, The Spires",,0.0,0.0,1.0,0.0,1.0,4.851,3.014
401,regular,BX,Bexleyheath,Go-Ahead,DD,"Bexleyheath, Shopping Centre",Thamesmead,Bexleyheath Clock Tower,Thamesmead Town Centre,"Bexleyheath, Shopping Centre, Bexleyheath Clock Tower",Thamesmead,,4.5,4.0,4.0,0.0,2.0,12.579,7.816
403,regular,C,Croydon,Go-Ahead,DD,West Croydon,Warlingham,West Croydon Bus Station,Warlingham / Sainsbury's,West Croydon,Warlingham,,5.0,5.0,5.0,0.0,3.0,10.248,6.368
