stop_id,stop_name,lat,lon,borough,in_lcc,degree,degree_rank,degree_percentile,betweenness,betweenness_rank,betweenness_percentile,closeness,closeness_rank,closeness_percentile
490012742Z,St. John's Primary School,51.679180,-0.097200,,true,2,10,36,0.000265,13215,32,0.016659,18169,5
490012744E,St John's Senior School,51.680940,-0.147780,,true,2,10,36,0.000368,11608,40,0.017247,17817,7
490012744W,St John's Senior School,51.680860,-0.148000,,true,2,10,36,0.000032,18126,6,0.016928,18014,6
490012745J,St John Street,51.522610,-0.103810,,true,2,10,36,0.002751,2812,86,0.024162,3096,84
490012745S,St John Street / Clerkenwell Road,51.523260,-0.102250,,true,2,10,36,0.000146,15603,19,0.023621,4351,77
490012745W,Clerkenwell Road / St John Street,51.522610,-0.101140,,true,4,8,93,0.002204,3513,82,0.023927,3567,81
490012747E,St John's Wood Road,51.526440,-0.178860,,true,2,10,36,0.001939,3974,80,0.023277,5289,72
490012747F,St John's Wood Road,51.525060,-0.177480,,true,3,9,80,0.002598,2978,85,0.022967,6217,68
490012748N,St John the Divine Church,51.342470,-0.065650,,true,2,10,36,0.000289,12818,34,0.020251,14638,23
490012748S,St John the Divine Church,51.342260,-0.065180,,true,2,10,36,0.000460,10448,46,0.020436,14293,25
490012749S,St Joseph's Church,51.477640,0.065380,,true,2,10,36,0.000015,18490,4,0.021835,10178,47
490012750E,St Joseph's Church,51.411030,0.027240,,true,2,10,36,0.000666,8608,56,0.022232,8703,54
490012750W,St Joseph's Church,51.411340,0.026360,,true,2,10,36,0.000793,7732,60,0.022977,6185,68
490012751E,St Joseph's Church,51.399590,-0.260850,,true,2,10,36,0.000238,13708,29,0.026654,346,98
490012751W,St Joseph's Church,51.399670,-0.261830,,true,2,10,36,0.000302,12595,35,0.027081,187,99
490012752N,Sunnyfield,51.620980,-0.243040,,true,2,10,36,0.000255,13381,31,0.020631,13843,27
490012752S,Sunnyfield,51.621080,-0.242680,,true,2,10,36,0.000264,13226,32,0.020893,13182,31
490012753M,St Joseph's School,51.586740,-0.231860,,true,3,9,80,0.002055,3777,81,0.025262,1304,93
490012754N,St Julian's Farm Road,51.430150,-0.104410,,true,3,9,80,0.030623,265,99,0.025541,1046,95
490012755E,St Katharine Cree,51.513330,-0.078870,,true,3,9,80,0.000046,17841,8,0.023533,4574,76
490012755W,St Katharine Cree,51.513270,-0.079380,,true,2,10,36,0.000045,17882,7,0.023193,5566,71
490012756E,St Laurence Church,51.556580,0.246010,,true,2,10,36,0.003125,2486,87,0.013955,18966,1
490012756K,St Laurence Church,51.556300,0.246610,,true,2,10,36,0.004330,1729,91,0.014145,18932,1
490012757N,St Laurence Church,51.527790,-0.474320,,true,2,10,36,0.000047,17823,8,0.022387,8150,57
490012757S,St Laurence Church,51.528010,-0.474330,,true,2,10,36,0.000035,18072,6,0.022409,8080,58
490012758E,St Lawrence Church,51.608040,-0.288640,,true,2,10,36,0.000140,15713,19,0.021908,9905,48
490012758W,St Lawrence Church,51.608340,-0.287450,,true,2,10,36,0.000125,16046,17,0.021336,11900,38
490012759E,St Lawrence's Church,51.583800,-0.399900,,true,2,10,36,0.000308,12488,36,0.019922,15211,20
490012760E,St Leonard's Avenue,51.585540,-0.309870,,true,4,8,93,0.003414,2245,89,0.026819,294,99
490012760W,St Leonards Avenue,51.585020,-0.310890,,true,3,9,80,0.000655,8703,55,0.026880,271,99
490012761SQ,St Leonard's Church,51.428380,-0.131330,,true,7,5,100,0.012710,470,98,0.022671,7238,62
490012761ST,Streatham / St Leonard's Church,51.428420,-0.131830,,true,5,7,98,0.009975,600,97,0.022266,8578,55
490012761SV,Streatham / St Leonard's Church,51.428320,-0.132300,,true,2,10,36,0.002770,2792,86,0.021964,9677,49
490012761U,St Leonard's Church,51.428560,-0.130800,,true,6,6,99,0.000969,6783,65,0.021956,9710,49
490012763E,St Leonards Road,51.512080,-0.312520,,true,4,8,93,0.000997,6648,66,0.024988,1659,91
490012763E1,St Leonard's Road,51.512040,-0.312740,,true,2,10,36,0.000000,18935,2,0.024383,2645,86
490012763W,St Leonards Road,51.512100,-0.311770,,true,2,10,36,0.000379,11483,41,0.024223,2990,84
490012765E,Malden Road,51.545940,-0.152050,,true,2,10,36,0.000536,9671,50,0.023037,6017,69
490012765N,Malden Road,51.546530,-0.151290,,true,3,9,80,0.000828,7533,61,0.023320,5143,73
490012765S,Prince of Wales Road,51.546420,-0.150990,,true,3,9,80,0.000436,10730,45,0.022914,6409,67
490012765W,Malden Road,51.545840,-0.151820,,true,2,10,36,0.000089,16930,12,0.022486,7822,59
490012766U,Grace Street,51.526690,-0.012580,,true,2,10,36,0.003886,1956,90,0.023196,5549,71
490012767S,St Leonard's Wharf,51.520800,-0.010130,,true,2,10,36,0.001964,3928,80,0.023466,4759,75
490012768A,Nelson's Row,51.462740,-0.135640,,true,3,9,80,0.002361,3269,83,0.021180,12381,35
490012768H,St Luke's Avenue,51.463230,-0.133850,,true,4,8,93,0.001937,3977,80,0.021211,12308,35
